"","year","rname","totrev"
"1",1950,"Africa",395057595.68
"2",1950,"Asia",10296739639.64
"3",1950,"Europe",6911028441.5
"4",1950,"North America",4868094417.1
"5",1950,"Oceania",204525832.49
"6",1950,"South America",243785670.8
"7",1951,"Africa",495435790.37
"8",1951,"Asia",12528436184.4
"9",1951,"Europe",7796645102.2
"10",1951,"North America",4585964884.1
"11",1951,"Oceania",234296708.94
"12",1951,"South America",260989792.38
"13",1952,"Africa",572972107.21
"14",1952,"Asia",17167524794.55
"15",1952,"Europe",7856342873.52
"16",1952,"North America",4516012641.06
"17",1952,"Oceania",266835805.7
"18",1952,"South America",271580689.39
"19",1953,"Africa",622636325.92
"20",1953,"Asia",17054990470.24
"21",1953,"Europe",7753947492.7
"22",1953,"North America",4431645460.94
"23",1953,"Oceania",300734227.28
"24",1953,"South America",268947865.08
"25",1954,"Africa",644550787.89
"26",1954,"Asia",18218819869.67
"27",1954,"Europe",8310934023.59
"28",1954,"North America",4355323581.79
"29",1954,"Oceania",282259937.54
"30",1954,"South America",298569092.42
"31",1955,"Africa",656752122.45
"32",1955,"Asia",19468026218.7
"33",1955,"Europe",10179721802.24
"34",1955,"North America",4191279341.15
"35",1955,"Oceania",272367847.61
"36",1955,"South America",347176074.43
"37",1956,"Africa",580761954.84
"38",1956,"Asia",20957533973.89
"39",1956,"Europe",10703128851.19
"40",1956,"North America",4541683561.71
"41",1956,"Oceania",259047995.88
"42",1956,"South America",626343544.55
"43",1957,"Africa",563178794.02
"44",1957,"Asia",22377966301.51
"45",1957,"Europe",10130783113.47
"46",1957,"North America",4174591711.07
"47",1957,"Oceania",292589778.92
"48",1957,"South America",713991740.37
"49",1958,"Africa",584951257.34
"50",1958,"Asia",22656402910.42
"51",1958,"Europe",11311874444.19
"52",1958,"North America",4153580307.81
"53",1958,"Oceania",281529985.94
"54",1958,"South America",549214547.07
"55",1959,"Africa",582130974.01
"56",1959,"Asia",25216201621.62
"57",1959,"Europe",11696875672.02
"58",1959,"North America",4296256758.75
"59",1959,"Oceania",289452150.39
"60",1959,"South America",850438666.55
"61",1960,"Africa",617822153.39
"62",1960,"Asia",26863341080.79
"63",1960,"Europe",11741584539.29
"64",1960,"North America",3848447491.52
"65",1960,"Oceania",306413445.22
"66",1960,"South America",992875815.39
"67",1961,"Africa",661001184.09
"68",1961,"Asia",28959570188.79
"69",1961,"Europe",13047373654.55
"70",1961,"North America",3951566419.62
"71",1961,"Oceania",302466702.97
"72",1961,"South America",1157800196.75
"73",1962,"Africa",721652018.06
"74",1962,"Asia",26891726227.84
"75",1962,"Europe",12139614859.12
"76",1962,"North America",4226594460.11
"77",1962,"Oceania",319893979.47
"78",1962,"South America",1481238654.24
"79",1963,"Africa",699105543.98
"80",1963,"Asia",27647422158.23
"81",1963,"Europe",12828885987.13
"82",1963,"North America",4697226166.55
"83",1963,"Oceania",383065141.1
"84",1963,"South America",1445726036.53
"85",1964,"Africa",777324435.12
"86",1964,"Asia",28540981783.03
"87",1964,"Europe",14287173115.98
"88",1964,"North America",4878330955.17
"89",1964,"Oceania",389725333.27
"90",1964,"South America",1592052580.18
"91",1965,"Africa",787302468.93
"92",1965,"Asia",29437388160.58
"93",1965,"Europe",16860147085.03
"94",1965,"North America",5230591153.66
"95",1965,"Oceania",429061855.77
"96",1965,"South America",1674243987.28
"97",1966,"Africa",878037295.67
"98",1966,"Asia",34074541282.06
"99",1966,"Europe",18856520971.54
"100",1966,"North America",5525546613.17
"101",1966,"Oceania",480541836.49
"102",1966,"South America",1827368365.5
"103",1967,"Africa",879185675.1
"104",1967,"Asia",39083781868.76
"105",1967,"Europe",20490533346.21
"106",1967,"North America",5459261582.06
"107",1967,"Oceania",509274847.85
"108",1967,"South America",1938949073.58
"109",1968,"Africa",980848526.07
"110",1968,"Asia",42076343179.54
"111",1968,"Europe",22961653247.26
"112",1968,"North America",5590018555.88
"113",1968,"Oceania",539467152.28
"114",1968,"South America",2031314419.02
"115",1969,"Africa",949869744.66
"116",1969,"Asia",45802251936.4
"117",1969,"Europe",25007566845.67
"118",1969,"North America",5976007413.39
"119",1969,"Oceania",489597513.47
"120",1969,"South America",1878510274.09
"121",1970,"Africa",945425286.57
"122",1970,"Asia",55561593419.21
"123",1970,"Europe",30682439424.75
"124",1970,"North America",6826111973.78
"125",1970,"Oceania",490472698.01
"126",1970,"South America",2375572642.22
"127",1971,"Africa",1019019177.52
"128",1971,"Asia",66207650925.45
"129",1971,"Europe",29523148197.72
"130",1971,"North America",6684911918.3
"131",1971,"Oceania",637427107.16
"132",1971,"South America",2432512558.55
"133",1972,"Africa",1137220587.67
"134",1972,"Asia",66619078018.56
"135",1972,"Europe",31089358428.83
"136",1972,"North America",7408836696.66
"137",1972,"Oceania",612574526.33
"138",1972,"South America",2255735814.15
"139",1973,"Africa",1167920407.09
"140",1973,"Asia",71483261229.37
"141",1973,"Europe",30798281925.85
"142",1973,"North America",8225813113.73
"143",1973,"Oceania",891971611.31
"144",1973,"South America",2724137344.8
"145",1974,"Africa",1177067230.73
"146",1974,"Asia",67329792671.15
"147",1974,"Europe",30404329413.33
"148",1974,"North America",7586079258.51
"149",1974,"Oceania",1086392427.8
"150",1974,"South America",2403828475.92
"151",1975,"Africa",831332033.11
"152",1975,"Asia",66763469636.95
"153",1975,"Europe",30990991141.32
"154",1975,"North America",8129069855.19
"155",1975,"Oceania",728572517.92
"156",1975,"South America",2242725752.2
"157",1976,"Africa",943071929.21
"158",1976,"Asia",62442557891.44
"159",1976,"Europe",37016924123.28
"160",1976,"North America",10025634768.92
"161",1976,"Oceania",868470693.1
"162",1976,"South America",2368788463.55
"163",1977,"Africa",1024716429.79
"164",1977,"Asia",70246427277.99
"165",1977,"Europe",38683125711.49
"166",1977,"North America",10500785147.48
"167",1977,"Oceania",893185574.18
"168",1977,"South America",2651278916.48
"169",1978,"Africa",1136022359.63
"170",1978,"Asia",63450367679.51
"171",1978,"Europe",33912192659.71
"172",1978,"North America",12167077748.92
"173",1978,"Oceania",1161342740.72
"174",1978,"South America",3601445811.71
"175",1979,"Africa",1018388626.55
"176",1979,"Asia",71288924664.21
"177",1979,"Europe",35001617582.64
"178",1979,"North America",13192086939.16
"179",1979,"Oceania",1268539807.41
"180",1979,"South America",3481195662.69
"181",1980,"Africa",1062304510.96
"182",1980,"Asia",67470458273.73
"183",1980,"Europe",36390803003.29
"184",1980,"North America",11893976372.02
"185",1980,"Oceania",1424207748.76
"186",1980,"South America",3058271152.33
"187",1981,"Africa",1219954717.74
"188",1981,"Asia",64241600365.68
"189",1981,"Europe",35683144365.64
"190",1981,"North America",12329365316.01
"191",1981,"Oceania",1510357636.7
"192",1981,"South America",2713136336.61
"193",1982,"Africa",1123092023.39
"194",1982,"Asia",56674400162.43
"195",1982,"Europe",35606726226.78
"196",1982,"North America",12114151129.16
"197",1982,"Oceania",1204343175.73
"198",1982,"South America",3247107823.35
"199",1983,"Africa",1367341733.31
"200",1983,"Asia",65041807224.74
"201",1983,"Europe",33659755042.26
"202",1983,"North America",12612998179.11
"203",1983,"Oceania",1360920062.62
"204",1983,"South America",3594345889.97
"205",1984,"Africa",1187143440.6
"206",1984,"Asia",63057566211.7
"207",1984,"Europe",31383281287.43
"208",1984,"North America",11956619655.45
"209",1984,"Oceania",1233597833.67
"210",1984,"South America",3876467356.56
"211",1985,"Africa",1270961726.36
"212",1985,"Asia",60715761211.37
"213",1985,"Europe",32611854701.55
"214",1985,"North America",13842644446.2
"215",1985,"Oceania",1257788612.47
"216",1985,"South America",4322118065.23
"217",1986,"Africa",1458630174.87
"218",1986,"Asia",55317483897.98
"219",1986,"Europe",32662405827.01
"220",1986,"North America",15370531708.6
"221",1986,"Oceania",657768575.55
"222",1986,"South America",5433741613.11
"223",1987,"Africa",1746249912.82
"224",1987,"Asia",56256725438.48
"225",1987,"Europe",29784692052.69
"226",1987,"North America",18037844030.27
"227",1987,"Oceania",683057906.43
"228",1987,"South America",4450793725.88
"229",1988,"Africa",1541656640.64
"230",1988,"Asia",71478035007.87
"231",1988,"Europe",28748908956.21
"232",1988,"North America",18284473020.01
"233",1988,"Oceania",725190677.33
"234",1988,"South America",4328297888.46
"235",1989,"Africa",1566849512.3
"236",1989,"Asia",67732790580.63
"237",1989,"Europe",28192360859.65
"238",1989,"North America",17741508697.39
"239",1989,"Oceania",1274739632.59
"240",1989,"South America",5483636637.26
"241",1990,"Africa",1440896718.17
"242",1990,"Asia",68694079254.47
"243",1990,"Europe",22829265363.58
"244",1990,"North America",18683272648.23
"245",1990,"Oceania",1129389584.94
"246",1990,"South America",4710644105.81
"247",1991,"Africa",1387028140.8
"248",1991,"Asia",51976809927.38
"249",1991,"Europe",23729909268.31
"250",1991,"North America",16218912684.32
"251",1991,"Oceania",1277342985.06
"252",1991,"South America",4964205166.49
"253",1992,"Africa",1485259375.55
"254",1992,"Asia",53989712501.98
"255",1992,"Europe",24290265328.64
"256",1992,"North America",17509362483.45
"257",1992,"Oceania",1837202509.3
"258",1992,"South America",5020512555.19
"259",1993,"Africa",1372424859.28
"260",1993,"Asia",64406257959.46
"261",1993,"Europe",21583947037.74
"262",1993,"North America",18194494969.43
"263",1993,"Oceania",2093829111.05
"264",1993,"South America",5575199839.04
"265",1994,"Africa",1340390672
"266",1994,"Asia",56416560641.65
"267",1994,"Europe",19561923868.55
"268",1994,"North America",19421001365.88
"269",1994,"Oceania",2164364717.15
"270",1994,"South America",6238992726.83
"271",1995,"Africa",1449853399.05
"272",1995,"Asia",48522985427.35
"273",1995,"Europe",20134270132.52
"274",1995,"North America",18229029545.13
"275",1995,"Oceania",1779597155.15
"276",1995,"South America",6700342092.22
"277",1996,"Africa",1476663500.95
"278",1996,"Asia",54872539752.99
"279",1996,"Europe",20923607215.34
"280",1996,"North America",18822971891.79
"281",1996,"Oceania",1277188776.3
"282",1996,"South America",6755448270.93
"283",1997,"Africa",1778342732.08
"284",1997,"Asia",55059005414.98
"285",1997,"Europe",21375603546.5
"286",1997,"North America",17415327762.72
"287",1997,"Oceania",1494229504.83
"288",1997,"South America",6504445969.15
"289",1998,"Africa",1855985083.01
"290",1998,"Asia",54703851440.55
"291",1998,"Europe",20370993022.55
"292",1998,"North America",14772417564.93
"293",1998,"Oceania",2726069953.61
"294",1998,"South America",5748563959.72
"295",1999,"Africa",2041938950.93
"296",1999,"Asia",56231448230.03
"297",1999,"Europe",17863542088.53
"298",1999,"North America",16893151630.57
"299",1999,"Oceania",3898974681.34
"300",1999,"South America",5705733390.03
"301",2000,"Africa",2030518084.61
"302",2000,"Asia",56375323098.53
"303",2000,"Europe",18590319785.27
"304",2000,"North America",16204593111.31
"305",2000,"Oceania",4397013124.93
"306",2000,"South America",5551884045.16
"307",2001,"Africa",2063662522.63
"308",2001,"Asia",55637154532.94
"309",2001,"Europe",22292132789.73
"310",2001,"North America",16181411291.87
"311",2001,"Oceania",4100203854.78
"312",2001,"South America",6016749776.88
"313",2002,"Africa",1859399457.75
"314",2002,"Asia",53650623373.81
"315",2002,"Europe",21259403752.87
"316",2002,"North America",14731859918.12
"317",2002,"Oceania",4919053455.38
"318",2002,"South America",5599596668.88
"319",2003,"Africa",1936044320.16
"320",2003,"Asia",55309506390.52
"321",2003,"Europe",19576687287.83
"322",2003,"North America",14100687861.49
"323",2003,"Oceania",5516756561.32
"324",2003,"South America",5318711041.28
"325",2004,"Africa",2028672765.39
"326",2004,"Asia",54458431326.47
"327",2004,"Europe",17340728335.33
"328",2004,"North America",15072857237.05
"329",2004,"Oceania",6765671275.06
"330",2004,"South America",5758784314.48
"331",2005,"Africa",2092438690.23
"332",2005,"Asia",56519610143.93
"333",2005,"Europe",17122770383.65
"334",2005,"North America",16932857387.45
"335",2005,"Oceania",6926280644.54
"336",2005,"South America",5456518373.53
"337",2006,"Africa",2014538635.84
"338",2006,"Asia",58370904122.12
"339",2006,"Europe",19020704806.47
"340",2006,"North America",17100332681.44
"341",2006,"Oceania",6508602928.65
"342",2006,"South America",6068279705.41
"343",2007,"Africa",2032051117.52
"344",2007,"Asia",56301416497.17
"345",2007,"Europe",18249311473.44
"346",2007,"North America",16662690379.49
"347",2007,"Oceania",6759666257.21
"348",2007,"South America",5558971037.89
"349",2008,"Africa",2005638916.14
"350",2008,"Asia",55972974590.25
"351",2008,"Europe",17943607552.19
"352",2008,"North America",15863465417.99
"353",2008,"Oceania",5770903297.35
"354",2008,"South America",5260946070.11
"355",2009,"Africa",2064019383.11
"356",2009,"Asia",54638713168.91
"357",2009,"Europe",18067894210.35
"358",2009,"North America",15131318831.4
"359",2009,"Oceania",6077715109.22
"360",2009,"South America",5269621901
"361",2010,"Africa",2065903724.14
"362",2010,"Asia",54543766904
"363",2010,"Europe",19925877677.2
"364",2010,"North America",14586273487.77
"365",2010,"Oceania",6126394719.36
"366",2010,"South America",4439911563.32
"367",2011,"Africa",2203422991.47
"368",2011,"Asia",54372527298.67
"369",2011,"Europe",18629447370.87
"370",2011,"North America",16353675102.24
"371",2011,"Oceania",6163883680.15
"372",2011,"South America",4741741992.96
"373",2012,"Africa",2326866735.37
"374",2012,"Asia",55069257145.19
"375",2012,"Europe",18742877628.6
"376",2012,"North America",16880497229.41
"377",2012,"Oceania",7045111639.69
"378",2012,"South America",4171484902.97
"379",2013,"Africa",2358275341.92
"380",2013,"Asia",56330222023.3
"381",2013,"Europe",19271488750.68
"382",2013,"North America",14663286370.4
"383",2013,"Oceania",6377964908.5
"384",2013,"South America",4008742801.3
"385",2014,"Africa",2254586617.14
"386",2014,"Asia",58855071642.21
"387",2014,"Europe",19853620238.8
"388",2014,"North America",14722013442.52
"389",2014,"Oceania",7596979795.14
"390",2014,"South America",4098385199.81
